id,language,vulnerability_type,difficulty,code,is_vulnerable,evidence_support_true,evidence_support_false,evidence_strength,has_conflict,conf1,conf2,expected_direction,belief_update_alignment,reasoning_steps,mutation_level,is_cve_style
744139af-f684-4f4d-b5fe-1127839bc2cb,Python,XSS,easy,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.467,True,0.522,0.664,increase,True,1,2,True
2aed080d-f84d-4ed6-967d-6840e47b05db,C,SQL Injection,hard,"char query[256]; sprintf(query, ""SELECT * FROM users WHERE id = %s"", uid); execute(query);",True,Potential vulnerability detected.,Looks safe after review.,0.591,True,0.781,0.898,increase,True,4,1,True
8ead595e-868a-4c65-b2fe-e8a7901ff5bc,Python,Auth Bypass,medium,"jwt.decode(token, options={'verify_signature': False})",False,Potential vulnerability detected.,Looks safe after review.,0.718,False,0.756,0.627,decrease,True,2,1,False
6c8a82e1-24f4-4327-ad2b-ce191bd12d8b,Python,Command Injection,hard,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.586,True,0.649,0.754,increase,True,1,3,True
7fd2b103-9ab5-4504-bd27-b505f25b3992,Python,SSRF,hard,requests.get(url),True,Potential vulnerability detected.,Looks safe after review.,0.865,True,0.605,0.745,increase,True,5,3,True
6dec5620-49ea-49bb-a775-76f087336045,Python,Use After Free,medium,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.489,False,0.761,0.928,increase,True,4,1,False
836f4b3b-d2cd-4652-aa02-53d7e35901b5,JavaScript,Race Condition,easy,if balance >= amt: balance -= amt,True,Potential vulnerability detected.,Looks safe after review.,0.428,False,0.475,0.582,increase,True,2,2,True
7944e9e6-1007-46d3-8a9b-b3a03dd24b7e,JavaScript,Command Injection,medium,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.892,True,0.463,0.302,decrease,True,5,2,True
c4d81e01-7962-4bae-99a8-bb04d3bb7cbb,JavaScript,SSRF,easy,requests.get(url),True,Potential vulnerability detected.,Looks safe after review.,0.663,False,0.645,0.772,increase,True,2,3,False
7fb2ba43-13d8-4d3d-93a0-336f9f9079ab,JavaScript,Buffer Overflow,medium,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.326,False,0.255,0.072,decrease,True,2,3,False
32e60e67-e393-43e7-b713-ee3179ad4bb5,C,SSRF,medium,requests.get(url),False,Potential vulnerability detected.,Looks safe after review.,0.83,True,0.537,0.645,increase,True,5,1,False
78c83576-5be5-474f-bbcf-a933d629ceb9,C,Use After Free,easy,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.86,True,0.276,0.14,decrease,True,3,1,True
0d4067a5-502b-4552-91ed-7f2745fd4d76,Python,Weak Crypto,medium,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.442,True,0.784,0.977,increase,True,2,2,True
33294cf2-8ab9-452d-883b-f7bd1357f631,C,SSRF,medium,requests.get(url),False,Potential vulnerability detected.,Looks safe after review.,0.772,True,0.681,0.808,increase,True,4,1,False
5f34a073-aca5-4f0e-b033-222fa6c4b1f5,Python,Command Injection,medium,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.696,False,0.383,0.505,increase,True,3,2,True
f02ccbd2-504a-4556-b72a-285c19316148,JavaScript,Path Traversal,hard,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.369,False,0.608,0.414,decrease,True,2,3,False
7f1fe5b3-2d9a-45ff-ac7a-fae3c6df0704,Python,SQL Injection,hard,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",False,Potential vulnerability detected.,Looks safe after review.,0.891,True,0.407,0.263,decrease,True,4,3,True
a0430a9c-9cf6-4475-b6d4-394b095a89fa,Python,Path Traversal,hard,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.342,False,0.201,0.337,increase,True,5,2,True
5fd71b3e-eb77-46d7-94fe-41a47518d1b1,C,Path Traversal,medium,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.415,False,0.396,0.241,decrease,True,2,3,False
3dfd454a-4450-486c-992b-9bd69b3517d1,C,Auth Bypass,easy,"jwt.decode(token, options={'verify_signature': False})",False,Potential vulnerability detected.,Looks safe after review.,0.664,False,0.372,0.193,decrease,True,4,2,False
becafe8a-66d9-4c72-b961-29ea46d0d761,Python,Weak Crypto,hard,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.47,False,0.676,0.842,increase,True,1,1,False
469719c9-8763-43e2-8800-30395b6968f0,Python,Command Injection,easy,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.761,False,0.228,0.067,decrease,True,4,3,True
31620074-a352-405f-8ad4-c0e779091259,JavaScript,Auth Bypass,medium,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.816,True,0.289,0.478,increase,True,4,1,True
50ab9edd-464a-4d70-ad67-d98f8304f001,JavaScript,Buffer Overflow,easy,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.781,False,0.75,0.896,increase,True,4,3,False
02a00f86-2a1a-4cfa-b521-169e41b8b5e5,JavaScript,Buffer Overflow,easy,"char buf[10]; strcpy(buf, input);",False,Potential vulnerability detected.,Looks safe after review.,0.466,False,0.47,0.654,increase,True,2,2,False
b38046a9-025d-44cd-be3d-2f8054142467,C,XSS,medium,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.348,True,0.363,0.174,decrease,True,2,2,True
4d4da5c0-2d7c-4eb9-8b4c-e998266fbdf4,Python,Command Injection,medium,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.424,False,0.399,0.257,decrease,True,4,3,True
7725b96d-98a5-40c9-919b-1e481b7e633d,JavaScript,Use After Free,medium,free(ptr); printf(ptr);,True,Potential vulnerability detected.,Looks safe after review.,0.812,False,0.766,0.591,decrease,True,5,3,True
1e0e61af-495b-42db-9329-613a3d739ee5,Python,Race Condition,medium,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.707,False,0.491,0.357,decrease,True,2,2,True
c2ad94f7-8eb9-44b5-b76c-4312f8d21145,C,Use After Free,easy,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.557,False,0.555,0.663,increase,True,2,1,False
d8befc38-047f-43dc-9a2b-15079dda06be,JavaScript,Auth Bypass,easy,"jwt.decode(token, options={'verify_signature': False})",False,Potential vulnerability detected.,Looks safe after review.,0.871,False,0.396,0.268,decrease,True,3,1,False
00080210-ddb0-4499-a1ac-04f09315c0f9,C,SQL Injection,hard,"char query[256]; sprintf(query, ""SELECT * FROM users WHERE id = %s"", uid); execute(query);",True,Potential vulnerability detected.,Looks safe after review.,0.341,True,0.8,0.678,decrease,True,1,1,True
711736d7-0165-4870-9804-dd34e7d5c65c,C,SQL Injection,easy,"char query[256]; sprintf(query, ""SELECT * FROM users WHERE id = %s"", uid); execute(query);",True,Potential vulnerability detected.,Looks safe after review.,0.431,False,0.276,0.432,increase,True,3,1,True
0a8f8b51-af26-4a89-897f-d1f346cb779c,JavaScript,SSRF,easy,requests.get(url),True,Potential vulnerability detected.,Looks safe after review.,0.729,True,0.757,0.617,decrease,True,5,3,True
fb699ca8-79a0-4395-a519-edda2826b5e8,C,XSS,medium,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.557,False,0.678,0.813,increase,True,1,3,False
c4665927-6211-4296-849d-7d663fbfb0cb,JavaScript,SQL Injection,medium,"app.get('/user', (req,res)=>{ let q = `SELECT * FROM users WHERE id = ${req.query.id}`; db.exec(q); });",True,Potential vulnerability detected.,Looks safe after review.,0.797,True,0.46,0.296,decrease,True,4,1,False
a977776b-359f-4000-b34c-8ce343cb9266,C,Use After Free,medium,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.447,True,0.461,0.329,decrease,True,3,2,True
924a2cfe-0420-46d0-bc53-53d72c300704,C,Race Condition,hard,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.409,True,0.402,0.217,decrease,True,3,2,False
9415acd6-0a86-4b90-992d-0fed2c77beeb,C,Path Traversal,hard,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.732,False,0.533,0.642,increase,True,5,1,False
1a76c05c-c94b-4f97-8972-8390cfc6d751,C,Weak Crypto,medium,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.543,True,0.676,0.805,increase,True,3,3,False
a62fc734-2eda-4fa4-8e11-b5deadd08cea,C,Race Condition,hard,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.572,False,0.455,0.32,decrease,True,3,1,True
0fddc953-6bb7-41f0-8551-dd51e48c4168,JavaScript,Command Injection,easy,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.654,False,0.315,0.187,decrease,True,1,1,False
c171765c-1149-45f7-9761-a7f232971a0f,JavaScript,Command Injection,easy,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.885,False,0.208,0.335,increase,True,2,3,False
ced11c5f-bdfd-47a7-8f60-2be1eb8ae582,Python,XSS,hard,res.send('<div>' + userInput + '</div>');,False,Potential vulnerability detected.,Looks safe after review.,0.879,False,0.482,0.348,decrease,True,4,1,True
f76caa68-cf6e-4dd0-b902-cfc63010e7e0,JavaScript,Auth Bypass,easy,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.449,False,0.291,0.182,decrease,True,5,3,True
88685261-12cc-4a41-86ad-9e016557ade2,JavaScript,Buffer Overflow,medium,"char buf[10]; strcpy(buf, input);",False,Potential vulnerability detected.,Looks safe after review.,0.673,True,0.378,0.247,decrease,True,2,3,True
9a984288-7104-47d0-b057-f8631941848d,C,Path Traversal,easy,open(base + '/' + filename),True,Potential vulnerability detected.,Looks safe after review.,0.545,False,0.344,0.46,increase,True,3,1,True
f0fdcb8f-490d-42cd-ac75-6af8793f0e9c,C,Path Traversal,medium,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.773,True,0.243,0.435,increase,True,4,1,True
449205de-b24e-4cf3-a3d8-663d9c128681,Python,Weak Crypto,medium,hashlib.md5(password).hexdigest(),True,Potential vulnerability detected.,Looks safe after review.,0.657,False,0.243,0.422,increase,True,4,1,False
43317a07-8b5a-459d-a239-c11582e4e177,C,Path Traversal,medium,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.659,False,0.5,0.356,decrease,True,3,3,False
e1c47cc6-0f8d-499f-b3c7-c0d49a9543c7,Python,SQL Injection,easy,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.758,True,0.8,0.642,decrease,True,4,3,False
d2b3d7f4-ee79-49cf-9460-1203d05f22ba,Python,Path Traversal,hard,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.582,False,0.581,0.384,decrease,True,3,2,True
6db63d32-0d14-4cbe-b720-40b29d7cdab9,JavaScript,SSRF,medium,requests.get(url),False,Potential vulnerability detected.,Looks safe after review.,0.63,False,0.373,0.192,decrease,True,1,2,False
cd01bb12-dce8-4fb3-8a73-668a55d79333,Python,Insecure Deserialization,medium,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.413,False,0.595,0.454,decrease,True,5,2,False
5f2517fb-fa37-4d91-af5c-002eaf156667,Python,SQL Injection,medium,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.591,True,0.757,0.569,decrease,True,5,1,True
5c29f2c4-d815-4e3f-b2f0-562e3cff305d,C,Path Traversal,easy,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.37,True,0.256,0.402,increase,True,4,3,False
ebc3b5d9-c487-4081-8c92-b9f44e7ea989,C,Buffer Overflow,medium,"char buf[10]; strcpy(buf, input);",False,Potential vulnerability detected.,Looks safe after review.,0.631,False,0.701,0.577,decrease,True,2,3,True
bfa030de-aa87-4cab-979f-fd3b9b2b2a65,JavaScript,XSS,medium,res.send('<div>' + userInput + '</div>');,False,Potential vulnerability detected.,Looks safe after review.,0.47,False,0.761,0.579,decrease,True,5,3,False
e10cd2ef-a013-4101-821b-c38f77c0cce7,JavaScript,SSRF,hard,requests.get(url),False,Potential vulnerability detected.,Looks safe after review.,0.493,True,0.407,0.261,decrease,True,2,3,False
a05b4bc4-e407-4600-a4fd-0cc827e571aa,JavaScript,Command Injection,easy,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.698,True,0.647,0.508,decrease,True,4,1,True
c3989c90-8e0c-4680-a78a-bcbd730401c9,C,Buffer Overflow,medium,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.846,True,0.725,0.615,decrease,True,2,2,True
f90eed17-5ec9-42d5-9d20-5a0d483f42a2,JavaScript,XSS,medium,res.send('<div>' + userInput + '</div>');,False,Potential vulnerability detected.,Looks safe after review.,0.811,False,0.574,0.409,decrease,True,3,3,False
0cf65bfc-9dfc-4720-9b15-a7ab1f26d050,Python,Buffer Overflow,hard,"char buf[10]; strcpy(buf, input);",True,Potential vulnerability detected.,Looks safe after review.,0.748,False,0.341,0.141,decrease,True,1,3,True
36b395e0-1a3a-4000-bfc0-a52bc9fe5645,Python,Race Condition,hard,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.334,False,0.742,0.874,increase,True,3,2,True
910d6398-39be-4913-8b78-4af93f50948c,C,Command Injection,medium,os.system('ls ' + userInput),True,Potential vulnerability detected.,Looks safe after review.,0.53,True,0.302,0.463,increase,True,4,3,True
6adad8b7-b6c1-4bdb-8f8f-a360fc219716,JavaScript,Command Injection,hard,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.579,False,0.476,0.666,increase,True,5,1,True
45f902ac-3a6d-4181-a677-6b4b068a4ad0,JavaScript,Race Condition,hard,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.574,False,0.583,0.414,decrease,True,2,2,False
8b144b08-dd65-4b1a-8b5d-46e375061777,Python,XSS,medium,res.send('<div>' + userInput + '</div>');,False,Potential vulnerability detected.,Looks safe after review.,0.798,False,0.545,0.443,decrease,True,3,1,True
487aed78-680a-48e1-899c-4d81ea2ee620,C,Use After Free,medium,free(ptr); printf(ptr);,False,Potential vulnerability detected.,Looks safe after review.,0.511,True,0.665,0.826,increase,True,5,2,True
02dc518e-201c-4c69-a9d5-d8e9a0d341af,Python,Weak Crypto,hard,hashlib.md5(password).hexdigest(),True,Potential vulnerability detected.,Looks safe after review.,0.519,True,0.385,0.282,decrease,True,1,2,False
18a97851-0191-449e-a619-2c45efbe48ce,Python,Auth Bypass,easy,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.848,True,0.672,0.519,decrease,True,3,2,False
3b9027c3-64fe-45b5-a8cf-ac53b7f1c561,Python,Insecure Deserialization,medium,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.735,False,0.284,0.47,increase,True,5,2,True
1fec51a1-86e3-4546-bde7-365609e79d70,Python,Auth Bypass,medium,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.793,False,0.473,0.315,decrease,True,1,3,True
76d80cfc-5ec0-41b1-9193-9fe1a6714c54,Python,Race Condition,hard,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.681,False,0.749,0.914,increase,True,3,3,False
0c798ef7-7bc7-4276-8645-d9b49e933fad,Python,XSS,easy,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.441,True,0.383,0.271,decrease,True,4,2,False
35dc6af8-56a2-474c-9b8b-260edcd4b6d5,C,Weak Crypto,hard,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.693,False,0.552,0.741,increase,True,5,2,False
cf217992-ac67-4a22-846c-c6b2f4925f56,C,SQL Injection,medium,"char query[256]; sprintf(query, ""SELECT * FROM users WHERE id = %s"", uid); execute(query);",True,Potential vulnerability detected.,Looks safe after review.,0.36,False,0.466,0.652,increase,True,5,3,False
9c07a5bd-cf41-40cf-af24-93231f9a6174,JavaScript,SQL Injection,medium,"app.get('/user', (req,res)=>{ let q = `SELECT * FROM users WHERE id = ${req.query.id}`; db.exec(q); });",True,Potential vulnerability detected.,Looks safe after review.,0.427,True,0.781,0.672,decrease,True,1,2,True
51b4dddf-fb36-40c6-aec8-1c26abe97935,C,SSRF,easy,requests.get(url),True,Potential vulnerability detected.,Looks safe after review.,0.788,True,0.698,0.857,increase,True,3,1,True
9bcb48d7-3e51-470b-a73e-3e2be47d0a50,Python,Path Traversal,easy,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.315,True,0.679,0.845,increase,True,3,1,False
b2caf77e-85df-4076-85f6-e25bab465579,Python,SQL Injection,medium,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.747,False,0.276,0.123,decrease,True,4,2,True
cd0706a3-78bd-4704-a7d9-706165e8141e,C,Race Condition,easy,if balance >= amt: balance -= amt,True,Potential vulnerability detected.,Looks safe after review.,0.878,True,0.636,0.49,decrease,True,4,2,False
06192abf-9523-4701-8c0b-7f614fe58dca,Python,Weak Crypto,medium,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.389,True,0.244,0.376,increase,True,3,3,False
d89f25c2-c197-4ab8-86f8-277c3a479c18,C,Auth Bypass,hard,"jwt.decode(token, options={'verify_signature': False})",False,Potential vulnerability detected.,Looks safe after review.,0.721,True,0.472,0.362,decrease,True,4,2,True
a9c05416-d4e4-43d9-862a-ae9cfec5bf5a,JavaScript,Auth Bypass,medium,"jwt.decode(token, options={'verify_signature': False})",False,Potential vulnerability detected.,Looks safe after review.,0.488,False,0.45,0.581,increase,True,3,1,False
fd6061e8-3686-40e5-8c21-4212d0317447,Python,XSS,easy,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.634,False,0.459,0.278,decrease,True,1,2,False
de0c1c1a-d6cb-4843-9284-1d1bef655ead,JavaScript,Weak Crypto,hard,hashlib.md5(password).hexdigest(),True,Potential vulnerability detected.,Looks safe after review.,0.647,True,0.781,0.646,decrease,True,2,3,False
e4581ff2-ecc8-485a-bea4-6c281d5b35f4,Python,Command Injection,medium,os.system('ls ' + userInput),False,Potential vulnerability detected.,Looks safe after review.,0.784,True,0.269,0.112,decrease,True,5,3,False
182080b9-bc94-4c0b-8d89-cb821c3e5b60,Python,SQL Injection,medium,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",False,Potential vulnerability detected.,Looks safe after review.,0.822,False,0.753,0.652,decrease,True,1,1,True
b2cc6453-a4b5-40df-b1be-32aded1274a0,C,XSS,hard,res.send('<div>' + userInput + '</div>');,True,Potential vulnerability detected.,Looks safe after review.,0.522,False,0.426,0.292,decrease,True,5,3,True
7cdc94f2-9751-4125-8573-4fc391d66e59,Python,SQL Injection,easy,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.554,False,0.604,0.46,decrease,True,4,2,True
cf5be150-02dc-444b-ada5-bf64d3a653de,Python,Buffer Overflow,medium,"char buf[10]; strcpy(buf, input);",False,Potential vulnerability detected.,Looks safe after review.,0.485,True,0.267,0.114,decrease,True,4,3,True
f88395da-c25a-47ea-8c87-edc971fb9b2e,Python,SQL Injection,medium,"def get_user(db, uid):
    query = f""SELECT * FROM users WHERE id = {uid}""
    return db.execute(query)",True,Potential vulnerability detected.,Looks safe after review.,0.372,False,0.66,0.531,decrease,True,4,1,True
88f3af26-b4d8-4477-80cb-150c4ab53261,C,Auth Bypass,hard,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.817,True,0.5,0.393,decrease,True,4,1,False
fbb3115a-aa53-4e0a-bb0e-9826e518bbd6,JavaScript,XSS,hard,res.send('<div>' + userInput + '</div>');,False,Potential vulnerability detected.,Looks safe after review.,0.543,False,0.544,0.415,decrease,True,2,3,False
ef7de9ed-85cc-45e1-b7b2-3c21c6cd5601,Python,Insecure Deserialization,medium,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.537,False,0.346,0.194,decrease,True,3,1,False
794f1b39-ad42-4c7e-8ed1-73a70abc7c9c,Python,SSRF,hard,requests.get(url),True,Potential vulnerability detected.,Looks safe after review.,0.51,True,0.518,0.709,increase,True,2,1,True
e1a85f35-4628-4864-bc3c-0590c1eab156,Python,Path Traversal,easy,open(base + '/' + filename),True,Potential vulnerability detected.,Looks safe after review.,0.764,False,0.656,0.774,increase,True,4,3,False
0944f4dd-a52f-4c8c-bb71-6e550aef4b8d,C,Weak Crypto,hard,hashlib.md5(password).hexdigest(),False,Potential vulnerability detected.,Looks safe after review.,0.341,False,0.719,0.604,decrease,True,3,2,True
3c707154-864e-4caa-b20e-8a641f1b633c,C,Insecure Deserialization,easy,pickle.loads(data),False,Potential vulnerability detected.,Looks safe after review.,0.799,True,0.477,0.583,increase,True,1,3,False
14594d27-ad8a-4a44-8030-8afff80fd015,C,Race Condition,hard,if balance >= amt: balance -= amt,True,Potential vulnerability detected.,Looks safe after review.,0.585,True,0.47,0.602,increase,True,1,2,True
1c80adbb-0679-49d3-a81f-fa3f3a7cf608,C,Insecure Deserialization,easy,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.614,True,0.223,0.024,decrease,True,3,2,False
ccfbd01e-a3e3-42ad-9356-1c7571222287,JavaScript,Auth Bypass,medium,"jwt.decode(token, options={'verify_signature': False})",True,Potential vulnerability detected.,Looks safe after review.,0.357,False,0.674,0.567,decrease,True,3,2,True
01da3a4b-553a-4188-89db-eaf392ff5695,Python,Insecure Deserialization,hard,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.719,False,0.75,0.553,decrease,True,2,3,True
ecad0169-68e0-4fe7-bb61-327bc0ce4388,C,Path Traversal,medium,open(base + '/' + filename),False,Potential vulnerability detected.,Looks safe after review.,0.554,False,0.688,0.853,increase,True,1,2,False
c4bf88db-69de-457c-b85c-745c68bc6ee5,Python,SSRF,medium,requests.get(url),False,Potential vulnerability detected.,Looks safe after review.,0.477,True,0.315,0.43,increase,True,5,3,True
4d9689d9-fe5c-4ecb-aa7b-cbddc09fdbe2,JavaScript,Weak Crypto,hard,hashlib.md5(password).hexdigest(),True,Potential vulnerability detected.,Looks safe after review.,0.799,True,0.558,0.674,increase,True,4,1,False
b9914877-48d7-4b80-8dbf-257e9fb26883,C,Insecure Deserialization,hard,pickle.loads(data),True,Potential vulnerability detected.,Looks safe after review.,0.77,True,0.782,0.607,decrease,True,5,1,False
d9dab26d-cc0e-4b2b-8e8f-3c2df0c0f552,Python,Race Condition,medium,if balance >= amt: balance -= amt,False,Potential vulnerability detected.,Looks safe after review.,0.602,False,0.477,0.299,decrease,True,2,1,True
